"fish_id","datetime","sal_ppt","o2_mgl","temp_c","pres_hpa","smr_mgo2_kg_h"
"FV087","2025-07-17 23:51:25",35,6.38883843674474,20.1191666666667,1006,267.16231119496
"FV092","2025-07-22 00:00:45",35,8.0760079014793,12.006,1006,141.513942830453
"FV093","2025-07-22 00:43:21",35,7.5680397036812,12.006,1006,143.147287808208
"FV094","2025-07-22 01:34:07",35,7.83108959438583,11.94,1006,138.549863262971
"FV091","2025-07-22 02:50:34",35,7.84852465678737,11.998,1006,136.503581163445
"FV096","2025-07-22 07:08:57",35,7.89464008965369,11.9235,1006,151.735678213843
"FV090","2025-07-22 07:28:59",35,7.70696506486208,12.0013333333333,1006,135.479387090818
"FV095","2025-07-22 07:52:12",35,7.70210885611178,11.9316666666667,1006,136.710803402948
"FV100","2025-07-22 22:38:47",35,6.89261233145422,16.0175,1006,173.614735795268
"FV099","2025-07-23 00:42:11",35,7.18298896387914,16.0311666666667,1006,202.154324747793
"FV102","2025-07-23 02:42:20",35,7.27759583078722,15.971,1006,168.832185200866
"FV097","2025-07-23 05:58:18",35,6.92027446098075,16.0135,1006,215.454883904981
"FV098","2025-07-23 06:58:50",35,7.33586722020688,16.0151666666667,1006,174.746914680429
"FV103","2025-07-24 03:14:14",35,8.61293483114182,9.93433333333333,1010,127.153375776473
"FV104","2025-07-24 03:59:04",35,8.2281668553378,9.92216666666667,1010,115.08745087495
"FV106","2025-07-24 07:02:13",35,8.18669846091102,9.93016666666667,1010,170.510814470394
"FV107","2025-07-24 07:12:50",35,8.5014825083782,9.88933333333333,1010,119.750759440617
"FV105","2025-07-24 07:23:08",35,8.34800463231825,9.92183333333333,1010,115.575507926447
"FV108","2025-07-24 07:27:21",35,8.66372033635548,9.897,1010,103.807513444165
"FV109","2025-07-24 07:37:55",35,8.18310387723002,9.89783333333333,1010,117.634287985974
"FV111","2025-07-25 00:32:44",0,10.4845328716917,10.896,1011,122.540312165912
"FV113","2025-07-25 01:35:43",0,10.1196966205378,10.8538333333333,1011,143.673773118901
"FV110","2025-07-25 01:48:58",0,10.308734121655,10.8893333333333,1011,125.981545211938
"FV112","2025-07-25 04:20:24",0,10.2373026722755,10.8811666666667,1011,163.51514029815
"FV115","2025-07-25 06:51:18",0,10.111026967545,10.8425,1011,146.499546222171
"FV116","2025-07-25 07:07:00",0,10.3293695719265,10.8335,1011,146.128969113631
