"fish_id","datetime","sal_ppt","o2_mgl","temp_c","pres_hpa","alpha_close_mgo2_kg_h_kPa"
"FV054",2025-07-10 08:14:44,35,2.80985699646308,18.8791666666667,1012,36.7759072070239
"FV054",2025-07-10 08:14:39,35,2.83265120555052,18.88,1012,36.7664507353518
"FV054",2025-07-10 08:14:46,35,2.80007441988192,18.8788333333333,1012,36.7637090333501
"FV055",2025-07-10 08:22:57,35,2.05584609382355,18.8681666666667,1012,41.0168133371703
"FV055",2025-07-10 08:22:58,35,2.05434108204183,18.8681666666667,1012,40.9907830649919
"FV055",2025-07-10 08:22:59,35,2.05057855258754,18.8681666666667,1012,40.970277068842
"FV057",2025-07-11 08:24:53,35,2.0251623289458,10.9921666666667,1010,22.2314086659935
"FV057",2025-07-11 08:24:52,35,2.02692333966662,10.9921666666667,1010,22.2119332867167
"FV057",2025-07-11 08:24:56,35,2.02031624845849,10.9916666666667,1010,22.1769826414604
"FV058",2025-07-11 08:14:41,35,2.68289983317298,10.996,1010,27.7305625854959
"FV058",2025-07-11 08:14:40,35,2.68994387605627,10.996,1010,27.7192540823101
"FV058",2025-07-11 08:14:42,35,2.68289983317298,10.996,1010,27.7129486472242
"FV059",2025-07-11 08:36:40,35,2.78151643353903,10.9866666666667,1010,31.6400758544757
"FV059",2025-07-11 08:36:39,35,2.77827401350866,10.9865,1010,31.633254874329
"FV059",2025-07-11 08:36:41,35,2.77595327599876,10.9866666666667,1010,31.6032375915491
"FV060",2025-07-11 08:11:03,35,2.74810101752018,10.9206666666667,1010,31.8800623976112
"FV060",2025-07-11 08:11:05,35,2.74516878224479,10.9206666666667,1010,31.8665727205827
"FV060",2025-07-11 08:11:04,35,2.7495779836297,10.9206666666667,1010,31.8621502552746
"FV061",2025-07-11 08:45:09,35,1.77690815811862,10.9231666666667,1010,26.6135728024728
"FV061",2025-07-11 08:45:10,35,1.77514447756465,10.9231666666667,1010,26.5964524208065
"FV061",2025-07-11 08:45:08,35,1.77867183867258,10.9231666666667,1010,26.5797983533864
"FV062",2025-07-11 08:19:33,35,1.92858468575951,10.9171666666667,1010,27.9798190892865
"FV062",2025-07-11 08:19:34,35,1.92682100520555,10.9171666666667,1010,27.9784448774091
"FV062",2025-07-11 08:19:35,35,1.92505732465158,10.9171666666667,1010,27.9453258225757
"FV063",2025-07-11 08:33:37,35,2.47885301859624,10.918,1010,26.093528029959
"FV063",2025-07-11 08:33:36,35,2.47708933804228,10.918,1010,26.0718327763072
"FV063",2025-07-11 08:33:38,35,2.47708933804228,10.918,1010,26.058825946222
"FV064",2025-07-15 08:10:47,35,2.20440670705987,17.07,1005,33.1325827333497
"FV064",2025-07-15 08:10:46,35,2.20827408724769,17.0698333333333,1005,33.1172174480657
"FV064",2025-07-15 08:10:45,35,2.20982103932282,17.0696666666667,1005,33.104835223871
"FV065",2025-07-15 08:12:03,35,2.18781519140781,17.0675,1005,31.2767055841197
"FV065",2025-07-15 08:12:04,35,2.19013607032373,17.0673333333333,1005,31.2405222012928
"FV065",2025-07-15 08:12:02,35,2.19555145446087,17.0676666666667,1005,31.2345375069122
"FV066",2025-07-15 08:08:03,35,1.77048664998598,17.0733333333333,1005,30.5375327914843
"FV066",2025-07-15 08:08:04,35,1.76661926979815,17.0733333333333,1005,30.525438529581
"FV066",2025-07-15 08:08:02,35,1.77478276842199,17.0733333333333,1005,30.5214546012934
"FV067",2025-07-15 08:03:30,35,3.1166040551515,17.0405,1005,31.7221536496787
"FV067",2025-07-15 08:03:29,35,3.12202154419696,17.0405,1005,31.6993839873627
"FV067",2025-07-15 08:03:28,35,3.12202154419696,17.0405,1005,31.6760055980277
"FV068",2025-07-15 08:15:57,35,1.79601135922562,17.072,1005,35.0660097061661
"FV068",2025-07-15 08:15:58,35,1.79558665461723,17.0718333333333,1005,35.0515841772361
"FV068",2025-07-15 08:15:56,35,1.79987873941344,17.072,1005,35.0452078075458
"FV069",2025-07-15 08:09:07,35,2.29314572024184,17.0401666666667,1005,30.0936442429069
"FV069",2025-07-15 08:09:11,35,2.27921503412495,17.0401666666667,1005,30.083315910855
"FV069",2025-07-15 08:09:08,35,2.29159786622885,17.0401666666667,1005,30.0784748834253
"FV071",2025-07-16 08:20:00,35,2.49066426938763,13.0251666666667,1005,38.1350047064566
"FV071",2025-07-16 08:19:56,35,2.50272985175093,13.0261666666667,1005,38.1225396572618
"FV071",2025-07-16 08:19:59,35,2.49234261458263,13.0255,1005,38.0860620174263
"FV072",2025-07-16 08:29:58,35,2.17177868233665,13.0208333333333,1005,27.745571074808
"FV072",2025-07-16 08:29:56,35,2.17513537272666,13.0205,1005,27.7322380074157
"FV072",2025-07-16 08:29:57,35,2.17177868233665,13.0206666666667,1005,27.7270088045161
"FV073",2025-07-16 08:21:37,35,2.31682823515744,13.0276666666667,1005,30.3999489789502
"FV073",2025-07-16 08:21:36,35,2.31934470318983,13.0275,1005,30.3858079945819
"FV073",2025-07-16 08:21:25,35,2.34667629746811,13.0266666666667,1005,30.3767949066922
"FV074",2025-07-16 08:07:34,35,3.32421832256536,12.9823333333333,1005,35.0086990496688
"FV074",2025-07-16 08:07:32,35,3.33513667481229,12.9826666666667,1005,34.9885448173571
"FV074",2025-07-16 08:09:18,35,2.72062147169048,12.9823333333333,1005,34.9850259110972
"FV075",2025-07-16 08:26:14,35,1.90452456033343,13.029,1005,29.1255130447275
"FV075",2025-07-16 08:26:19,35,1.89193959627836,13.0291666666667,1005,29.1198520281377
"FV075",2025-07-16 08:26:18,35,1.89529558669305,13.029,1005,29.1132860324143
"FV076",2025-07-16 08:37:36,35,1.77885154299986,12.9716666666667,1005,31.19505238867
"FV076",2025-07-16 08:37:35,35,1.77885154299986,12.9715,1005,31.1885231181848
"FV076",2025-07-16 08:37:34,35,1.78137116274915,12.9713333333333,1005,31.1672693678888
"FV077",2025-07-17 09:13:40,35,2.04449387588328,7.994,1005,28.6667264341032
"FV077",2025-07-17 09:13:41,35,2.0458969290663,7.99416666666667,1005,28.5600749188468
"FV077",2025-07-17 09:13:38,35,2.04776960360092,7.99383333333333,1005,28.5242038343274
"FV078",2025-07-17 08:40:46,35,1.61160368374333,7.973,1005,19.7443698592021
"FV078",2025-07-17 08:40:47,35,1.61160368374333,7.97283333333333,1005,19.7288911826389
"FV078",2025-07-17 08:40:44,35,1.61404596653058,7.973,1005,19.7246162961853
"FV079",2025-07-17 08:34:22,35,1.83554163747278,7.97566666666667,1005,21.5050598834728
"FV079",2025-07-17 08:34:23,35,1.83970972946602,7.97533333333333,1005,21.4522854540572
