"fish_id","exp","holding_tank","acc_tank","chamber","fish_mort_resting","fish_mort_pcrit","equipment_failure_resting","posttrial_wet_weight_g","cf","hsi","l_perc_dw","t_perc_dw"
"FV063","group9","tank_3","tank_1","ch8","N","N","N",13.8,1.15867461058458,1.19852941176471,0.263803680981595,0.243401759530792
"FV064","group10","tank_3","tank_3","ch1","N","N","N",16.7,1.15739377100375,1.09815950920245,0.29608938547486,0.257425742574257
"FV065","group10","tank_3","tank_3","ch3","N","N","N",17.7,1.19469958367757,0.923976608187135,0.265822784810127,0.262390670553936
"FV066","group10","tank_3","tank_3","ch4","N","N","N",21.5,1.12764761169481,1.10047846889952,0.291304347826087,0.256880733944954
"FV067","group10","tank_3","tank_3","ch5","N","N","N",18.3,1.03298729199841,0.916666666666667,0.309090909090909,0.337278106508876
"FV068","group10","tank_3","tank_3","ch6","N","N","N",15.3,1.11872281339045,0.72,0.287037037037037,0.279220779220779
"FV069","group10","tank_3","tank_3","ch7","N","N","N",18.7,1.16757294052933,0.868131868131868,0.316455696202532,0.266666666666667
"FV070","group10","tank_3","tank_3","ch8","Y","N","N",14,1.05184072126221,1.14598540145985,0.32484076433121,0.328703703703704
"FV071","group11","tank_2","tank_1","ch1","N","N","N",14.2,1.03829176144735,1.14492753623188,0.284810126582278,0.271028037383178
"FV072","group11","tank_2","tank_1","ch2","N","N","N",13.7,1.0017321923823,0.793893129770992,0.307692307692308,0.288770053475936
"FV073","group11","tank_2","tank_1","ch4","N","N","N",13.6,1.02178812922615,1.29770992366412,0.288235294117647,0.345132743362832
"FV074","group11","tank_2","tank_1","ch5","N","N","N",20.6,1.22243657720132,1.18181818181818,0.311965811965812,0.258160237388724
"FV075","group11","tank_2","tank_1","ch6","N","N","N",16.1,1.11581076126709,0.891025641025641,0.294964028776978,0.24024024024024
"FV076","group11","tank_2","tank_1","ch7","N","N","N",11.6,1.00205161429651,0.855855855855856,0.284210526315789,0.290598290598291
"FV077","group12","tank_1","tank_2","ch1","N","N","N",7.5,0.902979108675342,2.5,0.316666666666667,0.279069767441861
"FV078","group12","tank_1","tank_2","ch2","N","N","N",19.2,1.11111111111111,0.978378378378378,0.287292817679558,0.26027397260274
"FV079","group12","tank_1","tank_2","ch3","N","N","N",16.8,1.19579081632653,1.45398773006135,0.286919831223629,0.272151898734177
"FV080","group12","tank_1","tank_2","ch5","N","N","N",12.9,1.14680530268548,1.25806451612903,0.307692307692308,0.256809338521401
"FV081","group12","tank_1","tank_2","ch6","N","N","N",13.9,0.963339725565997,1.23134328358209,0.309090909090909,0.290178571428571
"FV082","group12","tank_1","tank_2","ch7","N","N","N",16.5,1.03021141811411,1.11875,0.29608938547486,0.26530612244898
"FV083","group12","tank_1","tank_2","ch8","N","N","N",16.9,1.05518624037143,1.24096385542169,0.29126213592233,0.25
"FV084","group13","tank_1","tank_3","ch1","Y","N","N",17.1,1.1243527574587,1.39880952380952,0.259574468085106,0.284037558685446
"FV085","group13","tank_1","tank_3","ch2","N","N","N",16.2,1.09345385624727,1.25157232704403,0.256281407035176,0.286219081272085
"FV086","group13","tank_1","tank_3","ch3","Y","N","N",15.6,0.999425970724507,0.657894736842105,0.3,0.310861423220974
"FV087","group13","tank_1","tank_3","ch4","N","Y","N",15.5,1.10325938411079,1.36842105263158,0.264423076923077,0.261838440111421
